sep=;
10;3;4096;111248;5558;0;0;0usec;0usec;0usec;111248;5558;3336usec;512744usec;5393usec;2;1
15;1;4096;89802;4483;0;0;0usec;0usec;0usec;89802;4483;2157usec;322692usec;3341usec;2;1
15;2;4096;142039;7095;0;0;0usec;0usec;0usec;142039;7095;2418usec;713294usec;4224usec;2;1
15;3;4096;293404;14663;0;0;0usec;0usec;0usec;293404;14663;2061usec;658823usec;3067usec;2;1
20;1;4096;158289;7905;0;0;0usec;0usec;0usec;158289;7905;1844usec;79652usec;2527usec;2;1
20;2;4096;189545;9467;0;0;0usec;0usec;0usec;189545;9467;2916usec;100800usec;4221usec;2;1
20;3;4096;399936;19988;0;0;0usec;0usec;0usec;399936;19988;2053usec;1341917usec;3000usec;2;1
25;1;4096;108164;5397;0;0;0usec;0usec;0usec;108164;5397;3268usec;161705usec;4623usec;2;1
25;2;4096;188906;9432;0;0;0usec;0usec;0usec;188906;9432;2859usec;190724usec;5294usec;2;1
25;3;4096;453821;22679;0;0;0usec;0usec;0usec;453821;22679;2254usec;568308usec;3306usec;2;1
